,Unnamed: 0,ph,Hardness,Conductivity,Trihalomethanes,Turbidity,Original_Potability,SampleNumber,ph_rank,Hardness_rank,Conductivity_rank,Trihalomethanes_rank,Turbidity_rank,Average_Rank,Hardness_Safe,ph_safe,Conductivity_safe,Trihalomethanes_safe,Turbidity_safe,Hardness_Safe_qty,ph_safe_qty,Conductivity_safe_qty,Trihalomethanes_safe_qty,Turbidity_safe_qty,Hardness_Safe_pct,ph_safe_pct,Conductivity_safe_pct,Trihalomethanes_safe_pct,Turbidity_safe_pct,Potable_WHO_Standards,Unnamed: 0,TestOrTrain,SVM_Potability,SVM Test Score,Unnamed: 0,TestOrTrain,Logistic_Regression_Potability,SVM Test Score,Unnamed: 0,TestOrTrain,Random_Forrest_Potability,SVM Test Score
0,0,8.32,214.37,363.27,100.34,4.63,False,3,2234.0,214.37,783,3059.0,2628,1794.0,False,True,True,False,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,0,Train,False,0.6705298013245033,0,Train,False,0.6705298013245033,0,Train,False,0.6705298013245033
1,1,9.09,181.1,398.41,32.0,4.08,False,4,2510.0,181.1,1279,60.0,1814,1044.0,True,False,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,1,Train,False,0.6705298013245033,1,Train,False,0.6705298013245033,1,Train,False,0.6705298013245033
2,2,5.58,188.31,280.47,54.92,2.56,False,5,445.0,188.31,68,718.0,117,850.0,True,False,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,2,Train,False,0.6705298013245033,2,Train,False,0.6705298013245033,2,Train,False,0.6705298013245033
3,3,10.22,248.07,283.65,84.6,2.67,False,6,2707.0,248.07,77,2728.0,160,1085.0,False,False,True,False,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,3,Test,False,0.6705298013245033,3,Test,False,0.6705298013245033,3,Test,False,0.6705298013245033
4,4,8.64,203.36,474.61,62.8,4.4,False,7,2354.0,203.36,2357,1261.0,2325,1089.0,False,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,4,Train,False,0.6705298013245033,4,Train,False,0.6705298013245033,4,Train,False,0.6705298013245033
5,5,11.18,227.23,563.89,71.98,4.37,False,9,2763.0,227.23,3102,1969.0,2279,2267.0,False,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,5,Train,False,0.6705298013245033,5,Train,False,0.6705298013245033,5,Train,False,0.6705298013245033
6,6,7.36,165.52,425.38,78.74,3.66,False,10,1611.0,165.52,1690,2434.0,1124,1666.0,True,True,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,6,Test,False,0.6705298013245033,6,Test,False,0.6705298013245033,6,Test,False,0.6705298013245033
7,7,7.12,156.7,347.72,79.5,3.45,False,12,1451.0,156.7,577,2480.0,831,861.0,True,True,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,True,7,Train,False,0.6705298013245033,7,Train,False,0.6705298013245033,7,Train,False,0.6705298013245033
8,8,6.35,186.73,516.74,75.07,4.38,False,15,866.0,186.73,2807,2191.0,2293,2036.0,True,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,8,Train,False,0.6705298013245033,8,Train,False,0.6705298013245033,8,Train,False,0.6705298013245033
9,9,9.18,273.81,477.97,71.46,4.5,False,17,2535.0,273.81,2405,1937.0,2463,1660.0,False,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,9,Test,False,0.6705298013245033,9,Test,False,0.6705298013245033,9,Test,False,0.6705298013245033
