Sample Number,PH,Hardness,Conductivity,Trihalomethanes,Turbidity,Original Potability,Potable by WHO Standards,TestOrTrain,SVM Potability,SVM Test Score,Test/Train for LogReg,Logistic Regression Potability,LogReg Test Score,Test/Train for RanFor,Random Forrest Probability,RanFor Test Score
0,8.32,214.37,363.27,100.34,4.63,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
1,9.09,181.1,398.41,32.0,4.08,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
2,5.58,188.31,280.47,54.92,2.56,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
3,10.22,248.07,283.65,84.6,2.67,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
4,8.64,203.36,474.61,62.8,4.4,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
5,11.18,227.23,563.89,71.98,4.37,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
6,7.36,165.52,425.38,78.74,3.66,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
7,7.12,156.7,347.72,79.5,3.45,False,True,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
8,6.35,186.73,516.74,75.07,4.38,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
9,9.18,273.81,477.97,71.46,4.5,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
10,7.37,214.5,469.91,62.8,2.56,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
11,6.66,168.28,523.67,77.04,3.75,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
12,5.4,140.74,472.87,56.93,4.82,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
13,6.51,198.77,413.29,79.85,5.2,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
14,3.45,207.93,441.79,30.28,4.18,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
15,7.18,209.63,342.11,71.54,5.09,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
16,10.43,117.79,412.99,65.73,5.06,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
17,7.41,235.04,411.98,44.49,3.16,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
18,5.12,191.95,441.75,49.24,3.9,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
19,3.64,183.91,456.86,73.59,3.46,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
20,9.27,198.61,396.88,30.38,4.32,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
21,5.33,194.87,335.12,59.57,4.43,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
22,7.15,238.69,332.03,66.14,5.18,False,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033
23,9.92,202.82,333.19,71.83,4.69,False,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033
