ph,Hardness,Conductivity,Trihalomethanes,Turbidity,Original_Potability,SampleNumber,ph_rank,Hardness_rank,Conductivity_rank,Trihalomethanes_rank,Turbidity_rank,Average_Rank,Hardness_Safe,ph_safe,Conductivity_safe,Trihalomethanes_safe,Turbidity_safe,Hardness_Safe_qty,ph_safe_qty,Conductivity_safe_qty,Trihalomethanes_safe_qty,Turbidity_safe_qty,Hardness_Safe_pct,ph_safe_pct,Conductivity_safe_pct,Trihalomethanes_safe_pct,Turbidity_safe_pct,Potable_WHO_Standards,TestOrTrain,SVM_Potability,SVM Test Score,TestOrTrain,Logistic_Regression_Potability,SVM Test Score,TestOrTrain,Random_Forrest_Potability,SVM Test Score,Sample_Number
8.32,214.37,363.27,100.34,4.63,False,3,2234.0,214.37,783,3059.0,2628,1794.0,False,True,True,False,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,0
9.09,181.1,398.41,32.0,4.08,False,4,2510.0,181.1,1279,60.0,1814,1044.0,True,False,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,1
5.58,188.31,280.47,54.92,2.56,False,5,445.0,188.31,68,718.0,117,850.0,True,False,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,2
10.22,248.07,283.65,84.6,2.67,False,6,2707.0,248.07,77,2728.0,160,1085.0,False,False,True,False,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,3
8.64,203.36,474.61,62.8,4.4,False,7,2354.0,203.36,2357,1261.0,2325,1089.0,False,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,4
11.18,227.23,563.89,71.98,4.37,False,9,2763.0,227.23,3102,1969.0,2279,2267.0,False,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,5
7.36,165.52,425.38,78.74,3.66,False,10,1611.0,165.52,1690,2434.0,1124,1666.0,True,True,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,6
7.12,156.7,347.72,79.5,3.45,False,12,1451.0,156.7,577,2480.0,831,861.0,True,True,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,True,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,7
6.35,186.73,516.74,75.07,4.38,False,15,866.0,186.73,2807,2191.0,2293,2036.0,True,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,8
9.18,273.81,477.97,71.46,4.5,False,17,2535.0,273.81,2405,1937.0,2463,1660.0,False,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,9
7.37,214.5,469.91,62.8,2.56,False,19,1624.0,214.5,2289,1260.0,118,1003.0,False,True,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,10
6.66,168.28,523.67,77.04,3.75,False,21,1099.0,168.28,2867,2310.0,1283,1758.0,True,True,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,11
5.4,140.74,472.87,56.93,4.82,False,24,373.0,140.74,2335,834.0,2822,1687.0,True,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,12
6.51,198.77,413.29,79.85,5.2,False,25,983.0,198.77,1509,2500.0,3099,1858.0,True,True,False,True,False,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,13
3.45,207.93,441.79,30.28,4.18,False,26,34.0,207.93,1940,42.0,1998,1893.0,False,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,14
7.18,209.63,342.11,71.54,5.09,False,30,1491.0,209.63,514,1941.0,3025,886.0,False,True,True,True,False,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,15
10.43,117.79,412.99,65.73,5.06,False,32,2728.0,117.79,1500,1495.0,3003,1678.0,True,False,False,True,False,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,16
7.41,235.04,411.98,44.49,3.16,False,33,1660.0,235.04,1483,279.0,494,1140.0,False,True,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,17
5.12,191.95,441.75,49.24,3.9,False,35,280.0,191.95,1938,438.0,1552,1064.0,True,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,18
3.64,183.91,456.86,73.59,3.46,False,36,42.0,183.91,2136,2088.0,854,998.0,True,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,19
9.27,198.61,396.88,30.38,4.32,False,39,2550.0,198.61,1253,43.0,2210,1508.0,True,False,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,20
5.33,194.87,335.12,59.57,4.43,False,41,346.0,194.87,437,992.0,2379,1114.0,True,False,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,21
7.15,238.69,332.03,66.14,5.18,False,42,1467.0,238.69,402,1527.0,3088,1375.0,False,True,True,True,False,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,22
9.92,202.82,333.19,71.83,4.69,False,43,2673.0,202.82,419,1961.0,2693,1370.0,False,False,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,23
6.95,209.64,391.18,87.39,3.2,False,46,1323.0,209.64,1173,2840.0,539,595.0,False,True,True,False,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,24
10.68,173.38,323.81,78.47,4.0,False,47,2747.0,173.38,314,2418.0,1706,639.0,True,False,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,25
8.76,200.19,404.72,47.93,3.63,False,49,2397.0,200.19,1393,383.0,1067,1009.0,False,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,26
7.81,100.46,605.22,66.08,2.45,False,51,1926.0,100.46,3224,1523.0,89,728.0,True,True,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,27
6.65,145.01,545.97,71.73,3.74,False,52,1092.0,145.01,3017,1955.0,1271,1109.0,True,True,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,28
9.15,211.71,527.71,47.63,3.79,False,53,2523.0,211.71,2905,377.0,1367,1576.0,False,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,29
10.56,181.89,456.56,34.25,3.96,False,54,2739.0,181.89,2134,87.0,1656,1615.0,True,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,30
8.52,238.34,481.32,39.09,3.94,False,56,2304.0,238.34,2453,149.0,1620,1584.0,False,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,31
5.0,190.29,405.33,99.43,4.46,False,57,246.0,190.29,1399,3050.0,2407,1322.0,True,False,False,False,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,32
3.91,233.4,269.45,63.74,3.9,False,60,69.0,233.4,34,1339.0,1555,1076.0,False,False,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,33
6.39,213.02,369.34,17.92,3.92,False,61,895.0,213.02,864,9.0,1591,1023.0,False,False,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,34
5.06,238.57,669.73,76.52,5.11,False,66,264.0,238.57,3271,2285.0,3034,2289.0,False,False,False,True,False,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,35
7.26,179.89,501.18,50.99,3.64,False,69,1539.0,179.89,2670,515.0,1090,1569.0,True,True,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,36
7.16,183.09,428.04,90.04,3.88,False,70,1480.0,183.09,1730,2908.0,1520,640.0,True,True,False,False,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,37
5.7,116.3,504.38,48.15,4.16,False,71,509.0,116.3,2705,390.0,1949,1574.0,True,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,38
6.22,130.94,556.65,57.9,5.33,False,72,781.0,130.94,3073,887.0,3145,1822.0,True,False,False,True,False,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,39
3.51,158.73,307.38,79.85,3.76,False,76,35.0,158.73,206,2501.0,1307,878.0,True,False,True,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,40
3.72,163.64,467.56,50.58,3.66,False,77,53.0,163.64,2259,493.0,1127,1617.0,True,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,41
6.46,176.68,477.58,57.73,2.29,False,78,946.0,176.68,2401,873.0,58,1285.0,True,False,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,42
7.32,217.52,425.91,69.51,3.51,False,79,1585.0,217.52,1699,1802.0,917,1499.0,False,True,False,True,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Test,False,0.6705298013245033,Test,False,0.6705298013245033,Test,False,0.6705298013245033,43
7.41,204.96,504.15,81.11,3.77,False,82,1658.0,204.96,2704,2564.0,1324,1029.0,False,True,False,False,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,44
5.98,258.95,514.12,82.47,2.99,False,83,637.0,258.95,2787,2632.0,361,1471.0,False,False,False,False,True,1101,961,794,1623,1827,33.61,29.33,24.24,49.54,55.77,False,Train,False,0.6705298013245033,Train,False,0.6705298013245033,Train,False,0.6705298013245033,45
