ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,SampleNumber,ph_rank,Hardness_rank,Solids_rank,Chloramines_rank,Sulfate_rank,Conductivity_rank,Organic_carbon_rank,Trihalomethanes_rank,Turbidity_rank,Average_Rank,Average_Rank_2,Hardness_Safe,ph_safe,Solids_safe,Chloramines_safe,Sulfate_safe,Conductivity_safe,Organic_carbon_safe,Trihalomethanes_safe,Turbidity_safe,Hardness_Safe_qty,ph_safe_qty,Solids_safe_qty,Chloramines_safe_qty,Sulfate_safe_qty,Conductivity_safe_qty,Organic_carbon_safe_qty,Trihalomethanes_safe_qty,Turbidity_safe_qty,Hardness_Safe_pct,ph_safe_pct,Solids_safe_pct,Chloramines_safe_pct,Sulfate_safe_pct,Conductivity_safe_pct,Organic_carbon_safe_pct,Trihalomethanes_safe_pct,Turbidity_safe_pct
9.08,215.91,14153.64,5.02,333.5,311.8,10.78,69.11,3.44,0,2531,2506.0,215.91,619,288,1265.0,232,457,1774.0,812,437.0,3,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
7.18,225.12,5097.83,6.08,361.63,294.99,5.54,81.45,4.01,0,1796,1493.0,225.12,28,783,1903.0,138,17,2584.0,1715,484.0,6,False,True,False,False,False,True,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
9.61,231.34,4544.84,6.58,300.92,328.9,11.79,78.57,3.04,0,1030,2617.0,231.34,23,1174,498.0,375,728,2424.0,394,488.0,8,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
8.25,175.91,9913.96,4.97,324.43,302.2,11.07,71.44,3.94,0,974,2191.0,175.91,194,273,1027.0,176,532,1934.0,1622,495.0,9,True,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.68,228.3,7705.3,5.95,363.54,254.39,13.14,64.78,3.45,1,3205,1108.0,228.3,77,698,1930.0,12,1204,1423.0,835,509.0,10,False,True,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
5.86,287.98,3640.73,4.07,391.7,447.12,6.36,49.16,3.43,1,3218,573.0,287.98,11,98,2298.0,2024,32,435.0,802,542.0,13,False,False,False,False,False,False,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
9.65,205.21,8508.15,4.95,386.54,392.77,12.45,53.9,3.19,0,607,2627.0,205.21,110,253,2249.0,1198,960,663.0,537,544.0,15,False,False,False,False,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
6.67,190.75,16246.17,6.37,324.34,383.25,7.85,86.44,1.96,0,977,1105.0,190.75,909,1014,1024.0,1059,84,2802.0,18,546.0,16,True,True,False,False,False,True,False,False,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
4.48,172.38,13122.22,5.28,291.2,413.55,11.87,75.5,2.2,0,1243,139.0,172.38,473,367,344.0,1512,760,2225.0,40,554.0,17,True,False,False,False,False,False,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
2.97,147.15,17326.2,2.5,393.17,375.41,12.8,76.41,2.78,1,2300,20.0,147.15,1067,12,2310.0,951,1083,2276.0,208,578.0,19,True,False,False,True,False,True,False,True,True,1786,1328,2,89,58,1314,0,2512,2962,54.52,40.54,0.06,2.72,1.77,40.11,0.0,76.68,90.42
